lat,lon,radiance,bortle
33.0,126.14,2.5476,5
33.0,126.16,4.5714,5
33.0,126.17,10.3371,7
33.0,126.19,7.5366,6
33.0,126.2,9.8965,6
33.0,126.21,3.3525,5
33.0,126.23,7.3834,6
33.0,126.24,8.904,6
33.0,126.25,4.0417,5
33.0,126.26,4.6948,5
33.0,126.27,4.358,5
33.0,126.28,11.0056,7
33.0,126.34,12.2252,7
33.0,126.41,1.5159,4
33.0,126.42,1.5911,4
33.0,126.43,1.8195,4
33.0,126.67,1.1749,4
33.0,129.02,0.3608,2
33.0,129.03,0.3701,2
33.0,129.09,0.7951,3
33.0,129.1,0.5582,3
33.0,129.24,0.609,3
33.0,129.35,0.7804,3
33.0,129.36,0.5499,3
33.0,129.55,0.5187,3
33.0,129.56,0.5039,3
33.0,129.65,0.4797,2
33.0,129.66,0.6577,3
33.0,129.72,0.4897,2
33.0,129.73,1.2457,4
33.0,129.74,0.6869,3
33.0,129.75,0.7176,3
33.0,129.76,0.6107,3
33.0,129.77,0.6263,3
33.0,129.79,0.6518,3
33.0,129.8,0.6849,3
33.0,129.81,0.5403,3
33.0,129.94,0.6828,3
33.0,129.95,1.3023,4
33.0,129.96,0.7903,3
33.0,130.19,0.7845,3
33.0,130.39,0.7304,3
33.0,130.4,1.3041,4
33.0,130.41,2.6167,5
33.0,130.42,4.4891,5
33.0,130.43,7.9052,6
33.0,130.44,10.5372,7
33.0,130.45,4.6449,5
33.0,130.46,3.1236,5
33.0,130.47,3.0984,5
33.0,130.48,2.29,4
33.0,130.49,1.5791,4
33.0,130.5,1.4989,4
33.0,130.51,1.2224,4
33.0,130.52,0.9417,3
33.0,130.53,0.8748,3
33.0,130.54,0.8081,3
33.0,130.57,1.6433,4
33.0,130.58,2.3789,4
33.0,130.59,2.268,4
33.0,130.6,1.237,4
33.0,130.61,1.1436,4
33.0,130.62,0.9151,3
33.0,130.63,1.5196,4
33.0,130.64,0.9413,3
33.0,130.65,1.0023,4
33.0,130.66,1.0494,4
33.0,130.67,0.8484,3
33.0,130.68,1.0039,4
33.0,130.69,2.1021,4
33.0,130.7,1.2143,4
33.0,130.71,1.3962,4
33.0,130.72,2.9883,5
33.0,130.73,5.7521,6
33.0,130.74,4.4656,5
33.0,130.75,3.1878,5
33.0,130.76,2.0636,4
33.0,130.79,0.8899,3
33.0,130.8,0.9427,3
33.0,130.81,0.7672,3
33.0,130.82,0.7743,3
33.0,130.83,0.686,3
33.01,126.17,17.3998,7
33.01,126.18,9.4524,6
33.01,126.19,9.0541,6
33.01,126.2,3.6201,5
33.01,126.21,8.2466,6
33.01,126.22,10.8822,7
33.01,126.23,13.3044,7
33.01,126.24,8.049,6
33.01,126.25,5.366,6
33.01,126.26,2.7432,5
33.01,126.27,2.1288,4
33.01,126.34,3.1861,5
33.01,126.58,1.2264,4
33.01,126.67,3.7761,5
33.01,129.09,0.9064,3
33.01,129.1,0.5114,3
33.01,129.35,0.4306,2
33.01,129.36,0.3813,2
33.01,129.65,0.4921,2
33.01,129.66,0.7124,3
33.01,129.71,0.5195,3
33.01,129.73,0.7376,3
33.01,129.74,0.5319,3
33.01,129.79,0.9767,3
33.01,129.8,0.7203,3
33.01,129.94,0.735,3
33.01,129.95,1.7432,4
33.01,129.96,0.9099,3
33.01,129.97,0.6752,3
33.01,130.17,0.5781,3
33.01,130.18,1.218,4
33.01,130.19,0.6721,3
33.01,130.39,0.7544,3
33.01,130.4,1.6415,4
33.01,130.41,8.5719,6
33.01,130.42,6.0854,6
33.01,130.43,11.9206,7
33.01,130.44,11.4842,7
33.01,130.45,5.2797,6
33.01,130.46,4.1746,5
33.01,130.47,4.5865,5
33.01,130.48,2.6737,5
33.01,130.49,1.9945,4
33.01,130.5,1.7656,4
33.01,130.51,1.3697,4
33.01,130.52,1.2421,4
33.01,130.55,1.1606,4
33.01,130.56,0.9393,3
33.01,130.57,0.9276,3
33.01,130.58,1.8881,4
33.01,130.59,2.3388,4
33.01,130.6,1.1511,4
33.01,130.62,0.7925,3
33.01,130.63,0.874,3
33.01,130.67,0.8666,3
33.01,130.68,2.0946,4
33.01,130.69,5.0487,6
33.01,130.7,4.9888,5
33.01,130.71,8.2623,6
33.01,130.72,6.667,6
33.01,130.73,3.7997,5
33.01,130.74,2.2231,4
33.01,130.75,1.8059,4
33.01,130.76,1.3329,4
33.01,130.77,1.33,4
33.01,130.78,0.9778,3
33.02,126.17,10.8637,7
33.02,126.18,6.8002,6
33.02,126.19,10.8146,7
33.02,126.2,5.9179,6
33.02,126.21,4.3075,5
33.02,126.22,3.1922,5
33.02,126.23,12.4624,7
33.02,126.24,4.3401,5
33.02,126.25,11.7624,7
33.02,126.26,2.4691,4
33.02,126.28,1.9534,4
33.02,126.34,1.6435,4
33.02,126.38,7.0682,6
33.02,126.39,1.4506,4
33.02,126.4,1.5155,4
33.02,126.48,1.255,4
33.02,126.52,2.1716,4
33.02,126.61,1.3937,4
33.02,129.02,2.0395,4
33.02,129.03,0.5617,3
33.02,129.07,1.1852,4
33.02,129.08,0.7771,3
33.02,129.09,0.6501,3
33.02,129.56,0.4451,2
33.02,129.57,1.7257,4
33.02,129.58,1.2062,4
33.02,129.59,0.6133,3
33.02,129.6,0.5211,3
33.02,129.65,0.6266,3
33.02,129.66,0.5787,3
33.02,129.73,0.5913,3
33.02,129.74,0.6771,3
33.02,129.93,0.5966,3
33.02,129.94,3.0345,5
33.02,129.95,4.4279,5
33.02,129.96,1.0172,4
33.02,130.15,0.5905,3
33.02,130.16,0.8167,3
33.02,130.17,0.8877,3
33.02,130.18,2.3747,4
33.02,130.19,0.7013,3
33.02,130.4,0.9156,3
33.02,130.41,1.7627,4
33.02,130.42,10.8486,7
33.02,130.43,15.3195,7
33.02,130.44,13.6158,7
33.02,130.45,10.1859,7
33.02,130.46,13.3581,7
33.02,130.47,4.8848,5
33.02,130.48,2.8713,5
33.02,130.49,1.9792,4
33.02,130.5,1.5442,4
33.02,130.55,0.8771,3
33.02,130.56,1.3825,4
33.02,130.58,1.6764,4
33.02,130.59,4.8596,5
33.02,130.6,1.5978,4
33.02,130.61,0.87,3
33.02,130.66,0.6784,3
33.02,130.67,1.2589,4
33.02,130.68,3.3311,5
33.02,130.69,6.5877,6
33.02,130.7,4.2475,5
33.02,130.71,2.3482,4
33.02,130.72,1.7819,4
33.02,130.73,1.0847,4
33.02,130.74,0.8213,3
